CustomerKey,GeographyKey,FirstName,LastName,Gender,DateFirstPurchase,City
11044,25,Adam,Flores,M,2011-02-28,Hervey Bay
11045,8,Leonard,Nara,M,2013-04-10,Matraville
11046,6,Christine,Yuan,F,2011-02-06,Lavender Bay
11047,34,Jaclyn,Lu,F,2011-02-03,Geelong
11048,39,Jeremy,Powell,M,2011-02-10,Sunbury
11049,307,Carol,Rai,F,2013-03-09,Chula Vista
11050,31,Alan,Zheng,M,2011-02-20,Hobart
11051,21,Daniel,Johnson,M,2013-12-29,Caloundra
11052,8,Heidi,Lopez,F,2011-02-17,Matraville
11053,359,Ana,Price,F,2013-01-17,San Diego
11054,34,Deanna,Munoz,F,2011-02-03,Geelong
11055,22,Gilbert,Raje,M,2011-01-31,East Brisbane
11056,10,Michele,Nath,F,2011-02-26,Newcastle
11057,5,Carl,Andersen,M,2011-02-22,Lane Cove
11058,29,Marc,Diaz,M,2011-03-09,Findon
11059,27,Ashlee,Andersen,F,2013-02-18,Townsville
11060,40,Jon,Zhou,M,2011-03-19,Warrnambool
11061,23,Todd,Gao,M,2011-03-13,Gold Coast
11062,547,Noah,Powell,M,2013-01-07,Portland
11063,634,Angela,Murphy,F,2013-01-12,Redmond
11064,315,Chase,Reed,M,2013-01-25,Downey
11065,331,Jessica,Henderson,F,2013-02-10,La Jolla
11066,543,Grace,Butler,F,2013-05-31,Lebanon
11067,632,Caleb,Carter,M,2013-08-18,Port Orchard
11068,40,Tiffany,Liang,F,2013-04-30,Warrnambool
11069,23,Carolyn,Navarro,F,2011-04-17,Gold Coast
11070,39,Willie,Raji,M,2011-04-28,Sunbury
11071,24,Linda,Serrano,F,2013-03-01,Hawthorne
11072,17,Casey,Luo,F,2011-03-31,St. Leonards
11073,16,Amy,Ye,F,2013-03-23,Springwood
11074,28,Levi,Arun,M,2013-03-23,Cloverdale
11075,32,Felicia,Jimenez,F,2011-04-28,Bendigo
11076,19,Blake,Anderson,M,2011-04-21,Wollongong
11077,36,Leah,Ye,F,2011-04-15,Melton
11078,49,Gina,Martin,F,2013-02-15,Cliffside
11079,34,Donald,Gonzalez,M,2013-03-15,Geelong
11080,30,Damien,Chander,M,2011-04-10,Perth
11081,311,Savannah,Baker,F,2013-02-12,Concord
11082,322,Angela,Butler,F,2013-01-22,Fremont
11083,336,Alyssa,Cox,F,2013-01-06,Lincoln Acres
11084,543,Lucas,Phillips,M,2013-01-04,Lebanon
11085,345,Emily,Johnson,F,2013-12-06,Newport Beach
11086,369,Ryan,Brown,M,2013-07-02,Santa Monica
11087,307,Tamara,Liang,F,2013-02-25,Chula Vista
11088,359,Hunter,Davis,M,2013-01-13,San Diego
11089,337,Abigail,Price,F,2012-12-29,Long Beach
11090,338,Trevor,Bryant,M,2011-08-07,Los Angeles
11091,50,Dalton,Perez,M,2013-01-29,Haney
11092,22,Cheryl,Diaz,F,2011-04-08,East Brisbane
11093,19,Aimee,He,F,2011-04-07,Wollongong
11094,33,Cedric,Ma,M,2013-04-07,Cranbourne
11095,13,Chad,Kumar,M,2011-04-01,Port Macquarie
11096,12,Andrés,Anand,M,2011-04-11,North Sydney
11097,40,Edwin,Nara,M,2011-04-04,Warrnambool
11098,14,Mallory,Rubio,F,2013-02-11,Rhodes
11099,13,Adam,Ross,M,2011-04-07,Port Macquarie
11100,28,Latasha,Navarro,F,2011-04-16,Cloverdale
11101,33,Abby,Sai,F,2011-04-29,Cranbourne
11102,18,Julia,Nelson,F,2013-07-16,Sydney
11103,3,Cassie,Chande,F,2011-04-15,Darlinghurst
11104,23,Edgar,Sara,M,2011-05-04,Gold Coast
11105,8,Candace,Fernandez,F,2011-05-14,Matraville
11106,40,Jessie,Liu,M,2011-05-18,Warrnambool
11107,17,Bianca,Lin,F,2011-05-01,St. Leonards
11108,13,Kari,Alvarez,F,2011-05-03,Port Macquarie
11109,38,Ruben,Kapoor,M,2011-05-10,South Melbourne
11110,3,Curtis,Yang,M,2011-05-01,Darlinghurst
11111,34,Meredith,Gutierrez,F,2011-05-20,Geelong
11112,25,Crystal,Wang,F,2011-05-25,Hervey Bay
11113,30,Micheal,Blanco,M,2013-02-01,Perth
11114,14,Leslie,Moreno,F,2013-03-18,Rhodes
11115,17,Alvin,Cai,M,2013-02-10,St. Leonards
11116,18,Clinton,Carlson,M,2013-03-15,Sydney
11117,8,April,Deng,F,2011-05-06,Matraville
11118,6,Alvin,Zeng,M,2013-07-10,Lavender Bay
11119,13,Evan,James,M,2013-02-03,Port Macquarie
11120,18,Beth,Jiménez,F,2011-05-14,Sydney
11121,10,Orlando,Suarez,M,2013-06-24,Newcastle
11122,12,Byron,Vazquez,M,2013-02-21,North Sydney
11123,39,Philip,Alvarez,M,2013-04-17,Sunbury
11124,40,Ross,Jordan,M,2011-05-05,Warrnambool
11125,37,Dana,Navarro,F,2013-01-31,Seaford
11126,11,Shaun,Carson,M,2011-05-28,North Ryde
11127,361,Jan,Edwards,F,2013-04-10,San Gabriel
11128,635,Samantha,Long,F,2013-06-19,Renton
11129,638,Julia,Wright,F,2011-08-06,Sedro Woolley
11130,543,Caroline,Russell,F,2013-12-09,Lebanon
11131,50,Amanda,Rivera,F,2013-10-18,Haney
11132,51,Melissa,Richardson,F,2013-04-09,Langford
11133,542,Angela,Griffin,F,2013-12-30,Lake Oswego
11134,30,Larry,Townsend,M,2011-05-03,Perth
11135,302,Marcus,Harris,M,2013-04-18,Burlingame
11136,53,Brianna,Morgan,F,2013-01-03,Metchosin
11137,641,Jasmine,Taylor,F,2013-07-31,Spokane
11138,325,Lauren,Davis,F,2013-09-19,Glendale
11139,28,Tanya,Moreno,F,2013-09-14,Cloverdale
11140,301,Javier,Alvarez,M,2013-03-19,Burbank
11141,314,Nicole,Ramirez,F,2013-05-16,Daly City
11142,51,Eduardo,Patterson,M,2013-02-13,Langford
11143,334,Jonathan,Henderson,M,2013-06-15,Lakewood
11144,607,Edward,Hernandez,M,2013-01-25,Ballard
11145,536,Jasmine,Coleman,F,2013-01-25,Beaverton
11146,8,Karla,Goel,F,2013-02-05,Matraville
11147,40,Ernest,Wu,M,2011-05-13,Warrnambool
11148,22,Ross,Vazquez,M,2013-03-07,East Brisbane
11149,25,Theodore,Gill,M,2013-06-04,Hervey Bay
11150,39,Russell,Shen,M,2013-03-27,Sunbury
11151,18,Melinda,Gill,F,2011-05-15,Sydney
11152,633,James,Williams,M,2013-01-09,Puyallup
11153,635,Angela,James,F,2013-03-29,Renton
11154,553,Megan,Walker,F,2013-01-10,Woodburn
11155,301,Hunter,Robinson,M,2013-01-06,Burbank
11156,334,Maria,Roberts,F,2013-01-08,Lakewood
11157,642,Hannah,Long,F,2013-07-24,Tacoma
11158,361,Jason,Wright,M,2013-01-19,San Gabriel
11159,385,Brianna,Hughes,F,2013-09-08,Woodland Hills
11160,311,Maurice,Tang,M,2013-02-21,Concord
11161,311,Emily,Wood,F,2013-06-01,Concord
11162,331,Chase,Cox,M,2013-02-18,La Jolla
11163,372,Gabriel,Wang,M,2013-05-01,Spring Valley
11164,374,Devin,Brooks,M,2013-04-27,Torrance
11165,348,Jocelyn,Alexander,F,2013-05-25,Oakland
11166,631,Ashley,Martinez,F,2013-10-14,Olympia
11167,618,Jasmine,Barnes,F,2013-01-07,Issaquah
11168,348,David,Rodriguez,M,2013-01-15,Oakland
11169,312,Bryce,Richardson,M,2013-05-26,Coronado
11170,612,Carol,Howard,F,2013-08-26,Burien
11171,385,Jonathan,Hill,M,2011-08-20,Woodland Hills
11172,626,Gabrielle,Adams,F,2013-05-03,Lynnwood
11173,552,Sarah,Thomas,F,2013-03-02,W. Linn
11174,338,Nicholas,Robinson,M,2013-07-13,Los Angeles
11175,300,Luis,Wang,M,2011-08-28,Beverly Hills
11176,50,Mason,Roberts,M,2013-02-02,Haney
11177,359,Jose,Flores,M,2013-03-29,San Diego
11178,334,Nathan,Johnson,M,2013-02-21,Lakewood
11179,300,Molly,Rodriguez,F,2013-03-12,Beverly Hills
11180,307,April,Anand,F,2013-03-17,Chula Vista
11181,338,Devin,Martin,M,2013-05-07,Los Angeles
11182,638,Stephanie,Torres,F,2013-08-28,Sedro Woolley
11183,368,Jasmine,Lee,F,2013-04-30,Santa Cruz
11184,311,Meghan,Hernandez,F,2013-08-10,Concord
11185,53,Ashley,Henderson,F,2013-02-21,Metchosin
11186,352,Sarah,Price,F,2013-10-18,Palo Alto
11187,612,Jennifer,Cooper,F,2013-04-03,Burien
11188,361,Catherine,Morris,F,2013-11-01,San Gabriel
11189,609,Lawrence,Blanco,M,2011-08-26,Bellingham
11190,300,Carson,Bryant,M,2013-08-28,Beverly Hills
11191,310,Kristi,Perez,F,2011-08-11,Colma
11192,637,James,Brown,M,2013-06-23,Seattle
11193,553,Ian,Gray,M,2013-02-25,Woodburn
11194,352,Jacqueline,Price,F,2013-03-13,Palo Alto
11195,635,Megan,Henderson,F,2013-04-14,Renton
11196,536,Alfredo,Romero,M,2013-03-03,Beaverton
11197,637,Andrea,Morris,F,2013-05-02,Seattle
11198,368,Brooke,Sanders,F,2013-02-05,Santa Cruz
11199,302,Jacqueline,Bennett,F,2013-03-18,Burlingame
11200,69,Jason,Griffin,M,2013-02-07,Victoria
11201,369,Amanda,Foster,F,2013-07-01,Santa Monica
11202,334,Alexia,Price,F,2013-09-15,Lakewood
11203,60,Luis,Diaz,M,2013-02-20,Port Hammond
11204,536,Destiny,Rivera,F,2013-08-09,Beaverton
11205,612,Abby,Fernandez,F,2013-07-27,Burien
11206,626,Blake,Flores,M,2013-05-11,Lynnwood
11207,635,Danielle,Cox,F,2013-01-31,Renton
11208,325,Maria,Reed,F,2013-03-04,Glendale
11209,336,Allison,Evans,F,2013-03-25,Lincoln Acres
11210,383,Edward,Wood,M,2013-05-06,West Covina
11211,50,Samantha,Russell,F,2013-02-01,Haney
11212,53,Chloe,Campbell,F,2013-01-30,Metchosin
11213,614,Stephanie,Murphy,F,2013-03-28,Edmonds
11214,545,Charles,Miller,M,2013-08-14,Milwaukie
11215,62,Ana,Perry,F,2013-02-15,Royal Oak
11216,547,Jasmine,Torres,F,2011-08-15,Portland
11217,547,Natalie,Adams,F,2011-08-10,Portland
11218,642,Olivia,Brown,F,2013-02-28,Tacoma
11219,553,Charles,Cook,M,2013-10-29,Woodburn
11220,310,Erica,Huang,F,2013-03-14,Colma
11221,334,Nathan,Perry,M,2013-04-07,Lakewood
11222,369,Alexandra,Rivera,F,2013-11-01,Santa Monica
11223,52,Hailey,Patterson,F,2013-01-29,Langley
11224,612,Tiffany,Li,F,2011-08-07,Burien
11225,635,Madison,Lee,F,2013-06-22,Renton
11226,552,Sydney,Ross,F,2013-02-21,W. Linn
11227,310,Marshall,Chavez,M,2011-08-03,Colma
11228,316,Ashley,Jones,F,2013-10-25,El Cajon
11229,355,Adrian,Stewart,M,2013-07-27,Redwood City
11230,369,Amber,Turner,F,2013-07-16,Santa Monica
11231,611,Dennis,Zhang,M,2013-02-10,Bremerton
11232,616,Hailey,Bryant,F,2013-09-20,Everett
11233,299,Todd,Li,M,2013-02-08,Berkeley
11234,337,Anna,Griffin,F,2013-02-08,Long Beach
11235,607,Angel,Stewart,M,2013-07-04,Ballard
11236,609,Jeremy,Butler,M,2013-10-03,Bellingham
11237,161,Clarence,Anand,M,2011-09-05,Solingen
11238,232,Mayra,Prasad,F,2011-01-06,Birmingham
11239,249,Latoya,Goel,F,2011-01-19,London
11240,273,Anne,Hernandez,F,2011-02-27,Watford
11241,211,Lisa,Cai,F,2012-09-10,Les Ulis
11242,209,Larry,Munoz,M,2012-09-19,Versailles
11243,237,Robin,Alvarez,F,2011-02-21,Esher-Molesey
11244,267,Alexis,Coleman,F,2011-02-12,Runcorn
11245,132,Ricky,Vazquez,M,2011-09-26,Hamburg
11246,147,Latasha,Rubio,F,2011-10-03,Hamburg
11247,242,Claudia,Zhou,F,2011-02-18,Lancaster
11248,223,Tristan,Alexander,M,2013-07-14,Saint-Denis
11249,178,Cindy,Patel,F,2011-10-09,Sulzbach Taunus
11250,276,Shannon,Liu,F,2011-03-17,Woolston
11251,50,Xavier,Long,M,2013-10-18,Haney
11252,335,Nicholas,Thompson,M,2011-08-14,Lemon Grove
11253,69,José,Hernandez,M,2013-03-01,Victoria
11254,612,Johnathan,Vance,M,2013-11-23,Burien
11255,612,Colin,Lin,M,2013-02-23,Burien
11256,626,Katelyn,Hernandez,F,2013-04-15,Lynnwood
11257,345,Jacqueline,Powell,F,2011-08-24,Newport Beach
11258,352,Xavier,Hill,M,2013-05-21,Palo Alto
11259,548,Victoria,Stewart,F,2011-09-04,Salem
11260,302,Katelyn,Kelly,F,2013-02-05,Burlingame
11261,359,Stephanie,Collins,F,2011-09-27,San Diego
11262,60,Jennifer,Simmons,F,2013-02-27,Port Hammond
11263,612,Trinity,Richardson,F,2011-08-29,Burien
11264,618,Eduardo,Martin,M,2013-01-02,Issaquah
11265,623,Elizabeth,Jones,F,2013-01-03,Kirkland
11266,632,Taylor,Howard,F,2011-09-10,Port Orchard
11267,302,David,Diaz,M,2011-09-17,Burlingame
11268,312,Katelyn,Carter,F,2013-05-29,Coronado
11269,314,Ryan,Foster,M,2013-08-22,Daly City
11270,334,Robert,Lee,M,2011-09-10,Lakewood
11271,360,Danielle,Reed,F,2011-09-27,San Francisco
11272,300,Lauren,Martinez,F,2011-09-19,Beverly Hills
11273,331,Nathan,Lal,M,2013-05-14,La Jolla
11274,609,Kyle,Foster,M,2011-08-29,Bellingham
11275,310,Jenny,Rai,F,2011-08-30,Colma
11276,49,Nancy,Chapman,F,2013-01-29,Cliffside
11277,62,Charles,Jackson,M,2013-02-02,Royal Oak
11278,614,Jonathan,Phillips,M,2011-09-16,Edmonds
11279,616,Amanda,Cook,F,2013-03-03,Everett
11280,626,Robert,Collins,M,2013-07-01,Lynnwood
11281,301,Megan,Barnes,F,2011-09-13,Burbank
11282,612,Christian,Thomas,M,2011-08-31,Burien
11283,299,Arturo,Lal,M,2013-05-29,Berkeley
11284,307,Theresa,Serrano,F,2013-02-06,Chula Vista
11285,322,Jeremy,Anderson,M,2013-07-27,Fremont
11286,374,Hunter,Griffin,M,2011-09-21,Torrance
11287,49,Henry,Garcia,M,2013-01-29,Cliffside
11288,301,Cindy,Sanchez,F,2013-03-05,Burbank
11289,315,Maria,Carter,F,2011-09-08,Downey
11290,334,Katelyn,Sanchez,F,2011-09-20,Lakewood
11291,335,Jenna,Wright,F,2011-09-04,Lemon Grove
11292,361,Seth,Phillips,M,2011-09-15,San Gabriel
11293,632,Luke,Long,M,2013-02-24,Port Orchard
11294,618,Dalton,Clark,M,2013-09-25,Issaquah
11295,311,Taylor,Lewis,F,2011-09-25,Concord
11296,616,Haley,Richardson,F,2011-09-01,Everett
11297,301,Noah,Coleman,M,2011-09-26,Burbank
11298,307,Jon,Luo,M,2011-09-12,Chula Vista
11299,301,Orlando,Vazquez,M,2011-09-26,Burbank
11300,54,Fernando,Barnes,M,2013-01-31,N. Vancouver
11301,607,Cameron,Rodriguez,M,2013-06-09,Ballard
11302,539,Spencer,Russell,M,2011-09-06,Corvallis
11303,614,Julia,Coleman,F,2011-09-02,Edmonds
11304,547,Julia,Garcia,F,2013-03-20,Portland
11305,307,Sean,Evans,M,2013-03-25,Chula Vista
11306,312,Micah,Zhou,M,2013-06-30,Coronado
11307,314,Hunter,Rodriguez,M,2011-09-04,Daly City
11308,546,Ian,Gonzales,M,2013-09-07,Oregon City
11309,536,Victoria,Lewis,F,2013-07-09,Beaverton
11310,360,Erin,Sanders,F,2013-08-12,San Francisco
11311,626,Gabrielle,Lopez,F,2013-04-18,Lynnwood
11312,626,Sara,Richardson,F,2013-05-17,Lynnwood
11313,632,Trevor,Jenkins,M,2013-05-07,Port Orchard
11314,618,Mya,Flores,F,2013-02-25,Issaquah
11315,632,Hailey,Ward,F,2013-05-20,Port Orchard
11316,51,Luke,Allen,M,2013-01-12,Langford
11317,548,Victoria,Russell,F,2011-09-01,Salem
11318,614,Jessica,Wilson,F,2013-10-17,Edmonds
11319,348,Jade,Bailey,F,2011-09-09,Oakland
11320,325,Morgan,Hill,F,2013-06-15,Glendale
11321,612,Terrance,Raman,M,2013-02-23,Burien
11322,611,Sydney,Garcia,F,2013-03-24,Bremerton
11323,314,Jose,Patterson,M,2011-09-10,Daly City
11324,325,Zachary,Anderson,M,2011-09-26,Glendale
11325,637,Elijah,Ross,M,2011-09-19,Seattle
11326,300,Rafael,Xie,M,2011-09-15,Beverly Hills
11327,301,Jaime,Moreno,M,2011-09-26,Burbank
11328,55,Julian,Griffin,M,2013-01-05,Newton
11329,311,Andy,Alvarez,M,2011-09-25,Concord
11330,59,Ryan,Thompson,M,2013-02-12,Oak Bay
11331,63,Samantha,Jenkins,F,2013-02-07,Shawnee
11332,153,Deanna,Ramos,F,2011-10-15,Berlin
11333,261,Emily,Miller,F,2011-03-21,Newcastle upon Tyne
11334,269,Nicole,Brown,F,2011-03-04,Stoke-on-Trent
11335,120,Carla,Raman,F,2011-10-23,Hof
11336,204,Shaun,Raji,M,2012-09-27,Paris
11337,273,Jerome,Romero,M,2011-03-09,Watford
11338,154,Frank,Navarro,M,2011-10-11,Bonn
11339,202,Dennis,She,M,2012-10-07,Paris
11340,192,Melody,Munoz,F,2012-10-27,Paris
11341,236,Randy,Zeng,M,2011-04-11,Cheltenham
11342,191,Marshall,Wang,M,2013-07-12,Boulogne-sur-Mer
11343,264,Arthur,Carlson,M,2011-04-04,Oxon
11344,262,Jessie,Jimenez,F,2011-05-13,Oxford
11345,224,Robin,Ramos,F,2012-10-22,Tremblay-en-France
11346,196,Deanna,Gutierrez,F,2012-10-01,Paris
11347,156,Roy,Navarro,M,2013-03-16,Braunschweig
11348,151,Shawn,Rai,M,2013-03-31,Paderborn
11349,134,Mindy,Luo,F,2014-01-13,München
11350,265,Cara,Zhou,F,2013-02-05,Peterborough
11351,253,Anne,Ramos,F,2011-06-12,London
11352,222,Raymond,Rodriguez,M,2013-05-01,Pantin
11353,271,Carrie,Ortega,F,2011-06-12,Warrington
11354,119,Deanna,Suarez,F,2013-12-03,Grevenbroich
11355,275,Roberto,Gutierrez,M,2013-09-26,Wokingham
11356,6,Terrence,Carson,M,2011-05-10,Lavender Bay
11357,21,Ramon,Ye,M,2011-06-18,Caloundra
11358,2,Cynthia,Malhotra,F,2011-06-28,Coffs Harbour
11359,7,Jarrod,Prasad,M,2011-06-13,Malabar
11360,26,Tyrone,Serrano,M,2011-06-27,Rockhampton
11361,10,Cindy,Ramos,F,2013-10-01,Newcastle
11362,33,Damien,Shan,M,2013-03-29,Cranbourne
11363,35,Julian,Ross,M,2011-06-08,Melbourne
11364,34,Jennifer,Collins,F,2011-06-07,Geelong
11365,29,Brittney,Sun,F,2011-05-31,Findon
11366,37,Virginia,Patel,F,2013-06-24,Seaford
11367,12,Calvin,Nara,M,2013-07-07,North Sydney
11368,26,Edward,Miller,M,2011-06-24,Rockhampton
11369,29,Ashlee,Tang,F,2013-07-05,Findon
11370,38,Alicia,Xu,F,2013-07-13,South Melbourne
11371,26,Lacey,Jai,F,2013-11-07,Rockhampton
11372,20,Wendy,Romero,F,2011-06-07,Brisbane
11373,135,Carly,Luo,F,2013-08-27,Salzgitter
11374,162,Jimmy,Ortega,M,2013-04-15,Werne
11375,240,Francisco,Martinez,M,2013-10-17,High Wycombe
11376,268,Lance,Vazquez,M,2013-10-15,Liverpool
11377,161,David,Robinett,M,2013-02-28,Solingen
11378,184,Shannon,Liang,F,2012-10-17,Metz
11379,214,Gary,Vazquez,M,2012-10-02,Boulogne-Billancourt
11380,175,Mitchell,Kumar,M,2011-10-11,Saarlouis
11381,249,Meredith,Raman,F,2011-06-12,London
11382,189,Edward,Patterson,M,2012-11-03,Roubaix
11383,206,Marie,Gill,F,2014-01-01,Roissy en Brie
11384,211,Tiffany,Wang,F,2013-08-02,Les Ulis
11385,279,Miguel,Allen,M,2013-07-06,York
11386,127,Jaclyn,Cai,F,2013-11-02,Darmstadt
11387,238,Megan,Ramirez,F,2011-07-26,Gateshead
11388,279,Joseph,Martin,M,2011-07-03,York
11389,130,Karl,Shan,M,2013-11-17,Duesseldorf
11390,208,Christine,Raji,F,2013-11-07,Saint Germain en Laye
11391,135,Lindsay,Xie,F,2013-10-26,Salzgitter
11392,131,Willie,Zhao,M,2013-03-29,Frankfurt
11393,182,Kurt,Pal,M,2013-07-16,Saint Ouen
11394,259,George,McDonald,M,2011-07-04,Milton Keynes
11395,118,Beth,Gutierrez,F,2011-11-14,Frankfurt
11396,175,Ian,Lopez,M,2013-10-26,Saarlouis
11397,197,Latoya,Shan,F,2013-07-07,Paris
11398,261,Colin,Nath,M,2011-07-03,Newcastle upon Tyne
11399,202,Brenda,Mehta,F,2013-04-13,Paris
11400,251,Franklin,Raji,M,2011-07-15,London
11401,204,Linda,Navarro,F,2012-10-28,Paris
11402,183,Kelli,Cai,F,2012-11-07,Orleans
11403,179,Nancy,Schmidt,F,2012-10-28,Saint Ouen
11404,133,Megan,Taylor,F,2013-02-10,Kassel
11405,143,Bonnie,Goel,F,2013-03-31,Bonn
11406,199,Latoya,Xu,F,2012-11-04,Paris
11407,170,Mario,She,M,2013-06-23,Münster
11408,257,Darren,Gill,M,2013-03-05,London
11409,208,Jacqueline,Hayes,F,2012-11-17,Saint Germain en Laye
11410,201,Maurice,Goel,M,2012-11-13,Paris
11411,121,Devin,Ross,M,2013-08-04,Ingolstadt
11412,121,Sydney,Bryant,F,2011-11-05,Ingolstadt
11413,238,Megan,Stewart,F,2011-08-10,Gateshead
11414,241,Ian,Richardson,M,2011-08-13,Kirkby
11415,127,Randy,She,M,2013-08-16,Darmstadt
11416,185,Katrina,Becker,F,2012-11-07,Croix
11417,222,Lacey,Zheng,F,2012-11-04,Pantin
11418,160,Rafael,Hu,M,2013-12-17,Paderborn
11419,273,Kyle,Scott,M,2013-03-12,Watford
11420,189,Jordan,Turner,M,2012-11-01,Roubaix
11421,172,Amy,Sun,F,2011-11-03,Offenbach
11422,268,Dustin,Deng,M,2011-08-22,Liverpool
11423,147,Jasmine,Stewart,F,2011-12-10,Hamburg
11424,164,Pamela,Garcia,F,2013-04-21,Berlin
11425,184,Ariana,Gray,F,2012-11-22,Metz
11426,156,Kristopher,Mehta,M,2013-04-09,Braunschweig
11427,168,Desiree,Dominguez,F,2011-12-20,Kiel
11428,173,Deanna,Perez,F,2011-12-05,Poing
11429,218,Marco,Lopez,M,2012-12-14,Sèvres
11430,155,Casey,Yuan,F,2013-03-19,Bottrop
11431,120,Bryant,Garcia,M,2011-12-21,Hof
11432,206,Dominique,Prasad,F,2012-12-10,Roissy en Brie
11433,224,Maurice,Shan,M,2012-12-02,Tremblay-en-France
11434,274,Andre,Lopez,M,2013-06-15,West Sussex
11435,168,Robin,Romero,F,2014-01-04,Kiel
11436,273,Taylor,Cox,F,2013-05-22,Watford
11437,190,Alfredo,Moreno,M,2013-12-19,Villeneuve-d'Ascq
11438,162,Jenny,Nara,F,2013-02-05,Werne
11439,217,Janet,Munoz,F,2012-11-29,Paris La Defense
11440,187,Sergio,Weber,M,2013-03-27,Lille
11441,192,Erika,Gomez,F,2014-01-08,Paris
11442,224,Joseph,Harris,M,2013-09-29,Tremblay-en-France
11443,31,Grace,Griffin,F,2011-06-07,Hobart
11444,32,Tina,Mehta,F,2011-06-01,Bendigo
11445,15,Kari,Kim,F,2011-06-06,Silverwater
11446,5,Bethany,Chander,F,2011-06-18,Lane Cove
11447,25,Jennifer,Roberts,F,2011-06-28,Hervey Bay
11448,35,Kyle,Patterson,M,2011-06-16,Melbourne
11449,37,Alvin,Hu,M,2011-06-19,Seaford
11450,28,Brett,Mehta,M,2011-06-29,Cloverdale
11451,10,Ruben,Muñoz,M,2011-07-29,Newcastle
11452,21,Erika,Rubio,F,2011-07-11,Caloundra
11453,31,Stanley,Malhotra,M,2011-07-15,Hobart
11454,35,Melinda,Navarro,F,2011-07-31,Melbourne
11455,36,Ross,Sanz,M,2011-07-01,Melton
11456,17,Jon,Gao,M,2011-07-17,St. Leonards
11457,19,Jaime,Gutierrez,F,2011-07-17,Wollongong
11458,16,Bianca,Liu,F,2013-03-30,Springwood
11459,13,Tasha,Deng,F,2011-07-27,Port Macquarie
11460,33,Melvin,Chande,M,2011-07-21,Cranbourne
11461,6,Victor,Jimenez,M,2011-07-31,Lavender Bay
11462,8,Laura,Lin,F,2011-07-16,Matraville
11463,28,Alisha,Beck,F,2013-03-05,Cloverdale
11464,38,Alejandro,Huang,M,2011-07-22,South Melbourne
11465,23,Louis,Luo,M,2011-07-14,Gold Coast
11466,6,Grant,Tang,M,2013-05-22,Lavender Bay
11467,17,Arturo,Zheng,M,2013-07-31,St. Leonards
11468,278,Jaclyn,Andersen,F,2011-08-08,York
11469,278,Edwin,Raji,M,2013-08-09,York
11470,177,Jay,Suarez,M,2012-01-22,Stuttgart
11471,207,Latasha,Suarez,F,2013-05-17,Chatou
11472,24,Kenneth,Kumar,M,2011-07-26,Hawthorne
11473,221,Grace,Henderson,F,2013-06-02,Drancy
11474,265,Melvin,Xu,M,2013-09-26,Peterborough
